source,frame,timestamp,text
webcam,26,1762285305.250,http://en.m.wikipedia.org
webcam,179,1762285313.399,http://en.m.wikipedia.org
webcam,218,1762285315.575,http://en.m.wikipedia.org
webcam,253,1762285317.587,http://en.m.wikipedia.org
webcam,290,1762285319.631,http://en.m.wikipedia.org
webcam,377,1762285323.999,http://en.m.wikipedia.org
webcam,556,1762285332.506,http://en.m.wikipedia.org
webcam,598,1762285334.568,http://en.m.wikipedia.org
webcam,670,1762285338.141,http://en.m.wikipedia.org
webcam,712,1762285340.175,http://en.m.wikipedia.org
webcam,754,1762285342.218,http://en.m.wikipedia.org
webcam,799,1762285344.394,http://en.m.wikipedia.org
webcam,839,1762285346.500,http://en.m.wikipedia.org
webcam,1256,1762285366.669,http://en.m.wikipedia.org
webcam,1292,1762285368.692,http://en.m.wikipedia.org
webcam,1328,1762285370.702,http://en.m.wikipedia.org
webcam,1360,1762285372.743,http://en.m.wikipedia.org
webcam,1390,1762285374.761,http://en.m.wikipedia.org
webcam,1427,1762285377.255,http://en.m.wikipedia.org
webcam,1495,1762285381.805,http://en.m.wikipedia.org
webcam,1540,1762285384.818,http://en.m.wikipedia.org
webcam,1570,1762285386.851,http://en.m.wikipedia.org
webcam,1601,1762285388.930,http://en.m.wikipedia.org
webcam,1703,1762285395.746,http://en.m.wikipedia.org
webcam,1734,1762285397.892,http://en.m.wikipedia.org
webcam,1765,1762285399.911,http://en.m.wikipedia.org
webcam,1786,1762285401.323,Version 2
webcam,1953,1762285412.518,Version 2
webcam,2508,1762285445.457,http://qr.rs/v/675a0
webcam,2537,1762285447.466,http://qr.rs/v/675a0
webcam,2563,1762285449.478,http://qr.rs/v/675a0
webcam,2591,1762285451.513,http://qr.rs/v/675a0
webcam,2615,1762285453.136,http://en.m.wikipedia.org
webcam,2621,1762285453.557,http://qr.rs/v/675a0
webcam,2645,1762285455.148,http://en.m.wikipedia.org
webcam,2652,1762285455.599,http://qr.rs/v/675a0
webcam,4351,1762285539.142,0051000012517
webcam,4386,1762285541.169,0051000012517
webcam,4430,1762285543.368,0051000012517
